# Per-frame agreement breakdown for reel_c1: mouth optical motion choice vs diarization label
# Note: diar_label shows raw transcript segment speaker; vad_speech gates active speech evaluation.
# frame	vad_speech	mouth_label	diar_label	agree
 391	True 	spk_a  	spk_a  	True 
 392	True 	spk_a  	spk_a  	True 
 393	True 	spk_b  	spk_a  	False
 394	True 	spk_b  	spk_a  	False
 395	True 	spk_b  	spk_a  	False
 396	True 	spk_b  	spk_a  	False
 397	True 	spk_b  	spk_a  	False
 398	True 	spk_b  	spk_a  	False
 399	True 	spk_b  	spk_a  	False
 400	True 	spk_b  	spk_a  	False
 401	True 	spk_b  	spk_a  	False
 402	True 	spk_b  	spk_a  	False
 403	True 	spk_b  	spk_a  	False
 404	True 	spk_b  	spk_a  	False
 405	True 	spk_b  	spk_a  	False
 406	True 	spk_b  	spk_a  	False
 407	True 	spk_b  	spk_a  	False
 408	True 	spk_b  	spk_a  	False
 409	True 	spk_b  	spk_a  	False
 410	True 	spk_b  	spk_a  	False
 411	True 	spk_a  	spk_a  	True 
 412	True 	spk_a  	spk_a  	True 
 413	True 	spk_b  	spk_a  	False
 414	True 	spk_b  	spk_a  	False
 415	True 	spk_b  	spk_a  	False
 416	True 	spk_b  	spk_a  	False
 417	True 	spk_b  	spk_a  	False
 418	True 	spk_b  	spk_a  	False
 419	True 	spk_b  	spk_a  	False
 420	False	spk_b  	spk_a  	False
 421	False	spk_b  	spk_a  	False
 422	False	spk_b  	spk_a  	False
 423	True 	spk_b  	spk_a  	False
 424	True 	spk_b  	spk_a  	False
 425	True 	spk_b  	spk_a  	False
 426	True 	spk_b  	spk_a  	False
 427	True 	spk_b  	spk_a  	False
 428	True 	spk_b  	spk_a  	False
 429	True 	spk_b  	spk_a  	False
 430	True 	spk_b  	spk_a  	False
 431	True 	spk_b  	spk_a  	False
 432	True 	spk_b  	spk_a  	False
 433	True 	spk_b  	spk_a  	False
 434	True 	spk_b  	spk_a  	False
 435	True 	spk_b  	spk_a  	False
 436	True 	spk_b  	spk_a  	False
 437	True 	spk_b  	spk_a  	False
 438	True 	spk_a  	spk_a  	True 
 439	True 	spk_a  	spk_a  	True 
 440	True 	spk_a  	spk_a  	True 
 441	True 	spk_a  	spk_a  	True 
 442	True 	spk_a  	spk_a  	True 
 443	True 	spk_a  	spk_a  	True 
 444	True 	spk_a  	spk_a  	True 
 445	True 	spk_a  	spk_a  	True 
 446	True 	spk_a  	spk_a  	True 
 447	True 	spk_a  	spk_a  	True 
 448	True 	spk_b  	spk_a  	False
 449	True 	spk_b  	spk_a  	False
 450	True 	spk_b  	spk_a  	False
 451	True 	spk_b  	spk_a  	False
 452	True 	spk_b  	spk_a  	False
 453	True 	spk_b  	spk_a  	False
 454	True 	spk_a  	spk_a  	True 
 455	True 	spk_a  	spk_a  	True 
 456	True 	spk_a  	spk_a  	True 
 457	True 	spk_a  	spk_a  	True 
 458	True 	spk_a  	spk_a  	True 
 459	True 	spk_a  	spk_a  	True 
 460	True 	spk_a  	spk_a  	True 
 461	True 	spk_a  	spk_a  	True 
 462	True 	spk_b  	spk_a  	False
 463	True 	spk_b  	spk_a  	False
 464	True 	spk_b  	spk_a  	False
 465	True 	spk_b  	spk_a  	False
 466	True 	spk_b  	spk_a  	False
 467	True 	spk_b  	spk_a  	False
 468	True 	spk_b  	spk_a  	False
 469	True 	spk_b  	spk_a  	False
 470	True 	spk_b  	spk_a  	False
 471	True 	spk_b  	spk_a  	False
 472	True 	spk_a  	spk_a  	True 
 473	True 	spk_a  	spk_a  	True 
 474	True 	spk_a  	spk_a  	True 
 475	True 	spk_a  	spk_a  	True 
 476	True 	spk_a  	spk_a  	True 
 477	True 	spk_a  	spk_a  	True 
 478	True 	spk_a  	spk_a  	True 
 479	True 	spk_b  	spk_a  	False
 480	True 	spk_b  	spk_a  	False
 481	True 	spk_b  	spk_a  	False
 482	True 	spk_b  	spk_a  	False
 483	True 	spk_b  	spk_a  	False
 484	True 	spk_b  	spk_a  	False
 485	True 	spk_a  	spk_a  	True 
 486	True 	spk_a  	spk_a  	True 
 487	True 	spk_a  	spk_a  	True 
 488	True 	spk_a  	spk_a  	True 
 489	True 	spk_a  	spk_a  	True 
 490	True 	spk_a  	spk_a  	True 
 491	True 	spk_b  	spk_a  	False
 492	True 	spk_b  	spk_a  	False
 493	True 	spk_b  	spk_a  	False
 494	True 	spk_a  	spk_a  	True 
 495	True 	spk_a  	spk_a  	True 
 496	True 	spk_b  	spk_a  	False
 497	True 	spk_a  	spk_a  	True 
 498	True 	spk_b  	spk_a  	False
 499	True 	spk_a  	spk_a  	True 
 500	True 	spk_b  	spk_a  	False
 501	True 	spk_b  	spk_a  	False
 502	True 	spk_b  	spk_a  	False
 503	True 	spk_b  	spk_a  	False
 504	True 	spk_b  	spk_a  	False
 505	True 	spk_b  	spk_a  	False
 506	True 	spk_a  	spk_a  	True 
 507	True 	spk_a  	spk_a  	True 
 508	True 	spk_a  	spk_a  	True 
 509	True 	spk_a  	spk_a  	True 
 510	True 	spk_a  	spk_a  	True 
 511	True 	spk_b  	spk_a  	False
 512	True 	spk_b  	spk_a  	False
 513	True 	spk_b  	spk_a  	False
 514	True 	spk_b  	spk_a  	False
 515	True 	spk_b  	spk_a  	False
 516	True 	spk_b  	spk_a  	False
 517	True 	spk_b  	spk_a  	False
 518	True 	spk_b  	spk_a  	False
 519	True 	spk_b  	spk_a  	False
 520	True 	spk_b  	spk_a  	False
 521	True 	spk_b  	spk_a  	False
 522	True 	spk_b  	spk_a  	False
 523	True 	spk_b  	spk_a  	False
 524	True 	spk_b  	spk_a  	False
 525	True 	spk_b  	spk_a  	False
 526	True 	spk_b  	spk_a  	False
 527	True 	spk_b  	spk_a  	False
 528	True 	spk_b  	spk_a  	False
 529	True 	spk_b  	spk_a  	False
 530	True 	spk_b  	spk_a  	False
 531	True 	spk_b  	spk_a  	False
 532	True 	spk_b  	spk_a  	False
 533	True 	spk_b  	spk_a  	False
 534	True 	spk_b  	spk_a  	False
 535	True 	spk_b  	spk_a  	False
 536	True 	spk_b  	spk_a  	False
 537	True 	spk_b  	spk_a  	False
 538	True 	spk_b  	spk_a  	False
 539	True 	spk_b  	spk_a  	False
 540	True 	spk_b  	spk_a  	False
 541	True 	spk_b  	spk_a  	False
 542	True 	spk_b  	spk_a  	False
 543	True 	spk_b  	spk_a  	False
 544	True 	spk_b  	spk_a  	False
 545	True 	spk_b  	spk_a  	False
 546	True 	spk_a  	spk_a  	True 
 547	True 	spk_a  	spk_a  	True 
 548	True 	spk_a  	spk_a  	True 
 549	True 	spk_a  	spk_a  	True 
 550	True 	spk_a  	spk_a  	True 
 551	True 	spk_a  	spk_a  	True 
 552	True 	spk_a  	spk_a  	True 
 553	True 	spk_a  	spk_a  	True 
 554	True 	spk_a  	spk_a  	True 
 555	True 	spk_a  	spk_a  	True 
 556	True 	spk_a  	spk_a  	True 
 557	True 	spk_a  	spk_a  	True 
 558	True 	spk_b  	spk_a  	False
 559	True 	spk_a  	spk_a  	True 
 560	True 	spk_b  	spk_a  	False
 561	True 	spk_b  	spk_a  	False
 562	True 	spk_b  	spk_a  	False
 563	True 	spk_b  	spk_a  	False
 564	False	spk_b  	spk_a  	False
 565	False	spk_b  	spk_a  	False
 566	False	spk_b  	spk_a  	False
 567	False	spk_b  	spk_a  	False
 568	False	spk_b  	spk_a  	False
 569	False	spk_b  	spk_a  	False
 570	False	spk_b  	spk_a  	False
 571	False	spk_b  	spk_a  	False
 572	False	spk_b  	spk_a  	False
 573	False	spk_b  	spk_a  	False
 574	False	spk_b  	spk_a  	False
 575	False	spk_b  	spk_a  	False
 576	False	spk_b  	spk_a  	False
 577	False	spk_b  	spk_a  	False
 578	False	spk_b  	spk_a  	False
 579	True 	spk_b  	spk_a  	False
 580	True 	spk_b  	spk_a  	False
 581	True 	spk_b  	spk_a  	False
 582	True 	spk_b  	spk_a  	False
 583	True 	spk_b  	spk_a  	False
 584	True 	spk_a  	spk_a  	True 
 585	True 	spk_a  	spk_a  	True 
 586	True 	spk_a  	spk_a  	True 
 587	True 	spk_a  	spk_a  	True 
 588	True 	spk_a  	spk_a  	True 
