# Frame-by-frame normalized mouth-region optical motion for reel_c1 (945.0s - 985.0s)
# Summary: ma min=0.0056, max=0.6114, eq1.0=0 | mb min=0.0000, max=0.9091, eq1.0=0
# frame_idx	time_sec	mouth_spk_a	mouth_spk_b	diff (a - b)
 506	 961.867	0.2040	0.1027	+0.1012
 507	 961.900	0.1992	0.0567	+0.1425
 508	 961.933	0.2165	0.0082	+0.2083
 509	 961.967	0.3461	0.0073	+0.3389
 510	 962.000	0.2254	0.0674	+0.1580
 511	 962.033	0.2260	0.0625	+0.1635
 512	 962.067	0.2257	0.0966	+0.1291
 513	 962.100	0.2289	0.0966	+0.1322
 514	 962.133	0.2396	0.0961	+0.1435
 515	 962.167	0.2334	0.1637	+0.0697
 516	 962.200	0.1031	0.1899	-0.0868
 517	 962.233	0.0861	0.1297	-0.0436
 518	 962.267	0.0757	0.1410	-0.0653
 519	 962.300	0.0712	0.1051	-0.0339
 520	 962.333	0.0656	0.1143	-0.0486
 521	 962.367	0.0578	0.1427	-0.0849
 522	 962.400	0.0518	0.1324	-0.0806
 523	 962.433	0.0503	0.1064	-0.0561
 524	 962.467	0.0563	0.1116	-0.0553
 525	 962.500	0.0541	0.1172	-0.0631
 526	 962.533	0.0576	0.1400	-0.0824
 527	 962.567	0.0563	0.1609	-0.1046
 528	 962.600	0.0503	0.2202	-0.1699
 529	 962.633	0.0487	0.1807	-0.1320
 530	 962.667	0.0508	0.2083	-0.1576
 531	 962.700	0.0468	0.2346	-0.1878
 532	 962.733	0.0433	0.2430	-0.1997
 533	 962.767	0.0374	0.2482	-0.2108
 534	 962.800	0.0398	0.2492	-0.2094
 535	 962.833	0.0378	0.2054	-0.1675
 536	 962.867	0.0361	0.1956	-0.1595
 537	 962.900	0.0290	0.1778	-0.1489
 538	 962.933	0.0227	0.1463	-0.1236
 539	 962.967	0.0235	0.1270	-0.1035
 540	 963.000	0.0209	0.1138	-0.0929
 541	 963.033	0.0183	0.0854	-0.0671
 542	 963.067	0.0222	0.0415	-0.0193
 543	 963.100	0.0238	0.0335	-0.0097
 544	 963.133	0.0328	0.0235	+0.0093
 545	 963.167	0.0362	0.0235	+0.0127
 546	 963.200	0.0391	0.0175	+0.0216
 547	 963.233	0.0429	0.0027	+0.0402
 548	 963.267	0.1869	0.0000	+0.1869
 549	 963.300	0.3279	0.0383	+0.2896
 550	 963.333	0.3295	0.0609	+0.2686
 551	 963.367	0.4669	0.1031	+0.3638
 552	 963.400	0.6114	0.1429	+0.4685
 553	 963.433	0.6114	0.1753	+0.4361
 554	 963.467	0.6078	0.1869	+0.4209
 555	 963.500	0.4678	0.1869	+0.2809
 556	 963.533	0.3267	0.1486	+0.1781
 557	 963.567	0.3222	0.1365	+0.1857
 558	 963.600	0.1875	0.1266	+0.0609
 559	 963.633	0.0399	0.1164	-0.0765
 560	 963.667	0.0352	0.1202	-0.0851
