frame	fused_speaker	diar_label_at_that_frame	vad_speech	eq=(fused==diar)
 355	spk_a        	spk_a                   	True      	True
 356	spk_a        	spk_a                   	True      	True
 357	spk_a        	spk_a                   	True      	True
 358	spk_a        	spk_a                   	True      	True
 359	spk_a        	spk_a                   	True      	True
 360	silence      	spk_a                   	False     	False
 361	silence      	spk_a                   	False     	False
 362	silence      	spk_a                   	False     	False
 363	silence      	spk_a                   	False     	False
 364	silence      	spk_a                   	False     	False
 365	silence      	spk_a                   	False     	False
 366	silence      	spk_a                   	False     	False
 367	silence      	spk_a                   	False     	False
 368	silence      	spk_a                   	False     	False
 369	silence      	spk_a                   	False     	False
 370	silence      	spk_a                   	False     	False
 371	silence      	spk_a                   	False     	False
 372	silence      	spk_a                   	False     	False
 373	silence      	spk_a                   	False     	False
 374	silence      	spk_a                   	False     	False
 375	spk_a        	spk_a                   	True      	True
 376	spk_a        	spk_a                   	True      	True
 377	spk_a        	spk_a                   	True      	True
 378	spk_a        	spk_a                   	True      	True
 379	spk_a        	spk_a                   	True      	True
 380	spk_a        	spk_a                   	True      	True
 381	spk_a        	spk_a                   	True      	True
 382	spk_a        	spk_a                   	True      	True
 383	spk_a        	spk_a                   	True      	True
 384	spk_a        	spk_a                   	True      	True
 385	spk_a        	spk_a                   	True      	True
 386	spk_a        	spk_a                   	True      	True
 387	spk_a        	spk_a                   	True      	True
 388	spk_a        	spk_a                   	True      	True
 389	spk_a        	spk_a                   	True      	True
 390	spk_a        	spk_a                   	True      	True
 391	spk_a        	spk_a                   	True      	True
 392	spk_a        	spk_a                   	True      	True
 393	spk_a        	spk_a                   	True      	True
 394	spk_a        	spk_a                   	True      	True
 395	spk_a        	spk_a                   	True      	True
 396	spk_a        	spk_a                   	True      	True
 397	spk_a        	spk_a                   	True      	True
 398	spk_a        	spk_a                   	True      	True
 399	spk_a        	spk_a                   	True      	True
 400	spk_a        	spk_a                   	True      	True
 401	spk_a        	spk_a                   	True      	True
 402	spk_a        	spk_a                   	True      	True
 403	spk_a        	spk_a                   	True      	True
 404	spk_a        	spk_a                   	True      	True
 405	spk_a        	spk_a                   	True      	True
 406	spk_a        	spk_a                   	True      	True
 407	spk_a        	spk_a                   	True      	True
 408	spk_a        	spk_a                   	True      	True
 409	spk_a        	spk_a                   	True      	True
 410	spk_a        	spk_a                   	True      	True
 411	spk_a        	spk_a                   	True      	True
 412	spk_a        	spk_a                   	True      	True
 413	spk_a        	spk_a                   	True      	True
 414	spk_a        	spk_a                   	True      	True
 415	spk_a        	spk_a                   	True      	True
 416	spk_a        	spk_a                   	True      	True
 417	spk_a        	spk_a                   	True      	True
 418	spk_a        	spk_a                   	True      	True
 419	spk_a        	spk_a                   	True      	True
 420	spk_a        	spk_a                   	False     	False
 421	spk_a        	spk_a                   	False     	False
 422	spk_a        	spk_a                   	False     	False
 423	spk_a        	spk_a                   	True      	True
 424	spk_a        	spk_a                   	True      	True
 425	spk_a        	spk_a                   	True      	True
 426	spk_a        	spk_a                   	True      	True
 427	spk_a        	spk_a                   	True      	True
 428	spk_a        	spk_a                   	True      	True
 429	spk_a        	spk_a                   	True      	True
 430	spk_a        	spk_a                   	True      	True
 431	spk_a        	spk_a                   	True      	True
 432	spk_a        	spk_a                   	True      	True
 433	spk_a        	spk_a                   	True      	True
 434	spk_a        	spk_a                   	True      	True
 435	spk_a        	spk_a                   	True      	True
 436	spk_a        	spk_a                   	True      	True
 437	spk_a        	spk_a                   	True      	True
 438	spk_a        	spk_a                   	True      	True
 439	spk_a        	spk_a                   	True      	True
 440	spk_a        	spk_a                   	True      	True
 441	spk_a        	spk_a                   	True      	True
 442	spk_a        	spk_a                   	True      	True
 443	spk_a        	spk_a                   	True      	True
 444	spk_a        	spk_a                   	True      	True
 445	spk_a        	spk_a                   	True      	True
 446	spk_a        	spk_a                   	True      	True
 447	spk_a        	spk_a                   	True      	True
 448	spk_a        	spk_a                   	True      	True
 449	spk_a        	spk_a                   	True      	True
 450	spk_a        	spk_a                   	True      	True
 451	spk_a        	spk_a                   	True      	True
 452	spk_a        	spk_a                   	True      	True
 453	spk_a        	spk_a                   	True      	True
 454	spk_a        	spk_a                   	True      	True
 455	spk_a        	spk_a                   	True      	True
 456	spk_a        	spk_a                   	True      	True
 457	spk_a        	spk_a                   	True      	True
 458	spk_a        	spk_a                   	True      	True
 459	spk_a        	spk_a                   	True      	True
 460	spk_a        	spk_a                   	True      	True
 461	spk_a        	spk_a                   	True      	True
 462	spk_a        	spk_a                   	True      	True
 463	spk_a        	spk_a                   	True      	True
 464	spk_a        	spk_a                   	True      	True
 465	spk_a        	spk_a                   	True      	True
 466	spk_a        	spk_a                   	True      	True
 467	spk_a        	spk_a                   	True      	True
 468	spk_a        	spk_a                   	True      	True
 469	spk_a        	spk_a                   	True      	True
 470	spk_a        	spk_a                   	True      	True
 471	spk_a        	spk_a                   	True      	True
 472	spk_a        	spk_a                   	True      	True
 473	spk_a        	spk_a                   	True      	True
 474	spk_a        	spk_a                   	True      	True
 475	spk_a        	spk_a                   	True      	True
 476	spk_a        	spk_a                   	True      	True
 477	spk_a        	spk_a                   	True      	True
 478	spk_a        	spk_a                   	True      	True
 479	spk_a        	spk_a                   	True      	True
 480	spk_a        	spk_a                   	True      	True
 481	spk_a        	spk_a                   	True      	True
 482	spk_a        	spk_a                   	True      	True
 483	spk_a        	spk_a                   	True      	True
 484	spk_a        	spk_a                   	True      	True
 485	spk_a        	spk_a                   	True      	True
 486	spk_a        	spk_a                   	True      	True
 487	spk_a        	spk_a                   	True      	True
 488	spk_a        	spk_a                   	True      	True
 489	spk_a        	spk_a                   	True      	True
 490	spk_a        	spk_a                   	True      	True
 491	spk_a        	spk_a                   	True      	True
 492	spk_a        	spk_a                   	True      	True
 493	spk_a        	spk_a                   	True      	True
 494	spk_a        	spk_a                   	True      	True
 495	spk_a        	spk_a                   	True      	True
 496	spk_a        	spk_a                   	True      	True
 497	spk_a        	spk_a                   	True      	True
 498	spk_a        	spk_a                   	True      	True
 499	spk_a        	spk_a                   	True      	True
 500	spk_a        	spk_a                   	True      	True
 501	spk_a        	spk_a                   	True      	True
 502	spk_a        	spk_a                   	True      	True
 503	spk_a        	spk_a                   	True      	True
 504	spk_a        	spk_a                   	True      	True
 505	spk_a        	spk_a                   	True      	True
 506	spk_a        	spk_a                   	True      	True
 507	spk_a        	spk_a                   	True      	True
 508	spk_a        	spk_a                   	True      	True
 509	spk_a        	spk_a                   	True      	True
 510	spk_a        	spk_a                   	True      	True
 511	spk_a        	spk_a                   	True      	True
 512	spk_a        	spk_a                   	True      	True
 513	spk_a        	spk_a                   	True      	True
 514	spk_a        	spk_a                   	True      	True
 515	spk_a        	spk_a                   	True      	True
 516	spk_a        	spk_a                   	True      	True
 517	spk_a        	spk_a                   	True      	True
 518	spk_a        	spk_a                   	True      	True
 519	spk_a        	spk_a                   	True      	True
 520	spk_a        	spk_a                   	True      	True
 521	spk_a        	spk_a                   	True      	True
 522	spk_a        	spk_a                   	True      	True
 523	spk_a        	spk_a                   	True      	True
 524	spk_a        	spk_a                   	True      	True
 525	spk_a        	spk_a                   	True      	True
 526	spk_a        	spk_a                   	True      	True
 527	spk_a        	spk_a                   	True      	True
 528	spk_a        	spk_a                   	True      	True
 529	spk_a        	spk_a                   	True      	True
 530	spk_a        	spk_a                   	True      	True
 531	spk_a        	spk_a                   	True      	True
 532	spk_a        	spk_a                   	True      	True
 533	spk_a        	spk_a                   	True      	True
 534	spk_a        	spk_a                   	True      	True
 535	spk_a        	spk_a                   	True      	True
 536	spk_a        	spk_a                   	True      	True
 537	spk_a        	spk_a                   	True      	True
 538	spk_a        	spk_a                   	True      	True
 539	spk_a        	spk_a                   	True      	True
 540	spk_a        	spk_a                   	True      	True
 541	spk_a        	spk_a                   	True      	True
 542	spk_a        	spk_a                   	True      	True
 543	spk_a        	spk_a                   	True      	True
 544	spk_a        	spk_a                   	True      	True
 545	spk_a        	spk_a                   	True      	True
 546	spk_a        	spk_a                   	True      	True
 547	spk_a        	spk_a                   	True      	True
 548	spk_a        	spk_a                   	True      	True
 549	spk_a        	spk_a                   	True      	True
 550	spk_a        	spk_a                   	True      	True
 551	spk_a        	spk_a                   	True      	True
 552	spk_a        	spk_a                   	True      	True
 553	spk_a        	spk_a                   	True      	True
 554	spk_a        	spk_a                   	True      	True
 555	spk_a        	spk_a                   	True      	True
 556	spk_a        	spk_a                   	True      	True
 557	spk_a        	spk_a                   	True      	True
 558	spk_a        	spk_a                   	True      	True
 559	spk_a        	spk_a                   	True      	True
 560	spk_a        	spk_a                   	True      	True
 561	spk_a        	spk_a                   	True      	True
 562	spk_a        	spk_a                   	True      	True
 563	spk_a        	spk_a                   	True      	True
 564	silence      	spk_a                   	False     	False
 565	silence      	spk_a                   	False     	False
 566	silence      	spk_a                   	False     	False
 567	silence      	spk_a                   	False     	False
 568	silence      	spk_a                   	False     	False
 569	silence      	spk_a                   	False     	False
 570	silence      	spk_a                   	False     	False
 571	silence      	spk_a                   	False     	False
 572	silence      	spk_a                   	False     	False
 573	silence      	spk_a                   	False     	False
 574	silence      	spk_a                   	False     	False
 575	silence      	spk_a                   	False     	False
 576	silence      	spk_a                   	False     	False
 577	silence      	spk_a                   	False     	False
 578	silence      	spk_a                   	False     	False
 579	spk_a        	spk_a                   	True      	True
 580	spk_a        	spk_a                   	True      	True
 581	spk_a        	spk_a                   	True      	True
 582	spk_a        	spk_a                   	True      	True
 583	spk_a        	spk_a                   	True      	True
 584	spk_a        	spk_a                   	True      	True
 585	spk_a        	spk_a                   	True      	True
 586	spk_a        	spk_a                   	True      	True
 587	spk_a        	spk_a                   	True      	True
 588	spk_a        	spk_a                   	True      	True
 589	spk_a        	spk_a                   	True      	True
 590	spk_a        	spk_a                   	True      	True
 591	spk_a        	spk_a                   	True      	True
 592	spk_a        	spk_a                   	True      	True
 593	spk_a        	spk_a                   	True      	True
 594	spk_a        	spk_a                   	True      	True
 595	spk_a        	spk_a                   	True      	True
 596	spk_a        	spk_a                   	True      	True
 597	spk_a        	spk_a                   	True      	True
 598	spk_a        	spk_a                   	True      	True
 599	spk_a        	spk_a                   	True      	True
 600	spk_a        	spk_a                   	True      	True
 601	spk_a        	spk_a                   	True      	True
 602	spk_a        	spk_a                   	True      	True
 603	spk_a        	spk_a                   	True      	True
 604	spk_a        	spk_a                   	True      	True
 605	spk_a        	spk_a                   	True      	True
 606	spk_a        	spk_a                   	True      	True
 607	spk_a        	spk_a                   	True      	True
 608	spk_a        	spk_a                   	True      	True
 609	spk_a        	spk_a                   	True      	True
 610	spk_a        	spk_a                   	True      	True
 611	spk_a        	spk_a                   	True      	True
 612	spk_a        	spk_a                   	True      	True
 613	spk_a        	spk_a                   	True      	True
 614	spk_a        	spk_a                   	True      	True
 615	spk_a        	spk_a                   	True      	True
 616	spk_a        	spk_a                   	True      	True
 617	spk_a        	spk_a                   	True      	True
 618	spk_a        	spk_a                   	True      	True
 619	spk_a        	spk_a                   	True      	True
 620	spk_a        	spk_a                   	True      	True
 621	spk_a        	spk_a                   	True      	True
 622	spk_a        	spk_a                   	True      	True
 623	spk_a        	spk_a                   	True      	True
 624	spk_a        	spk_a                   	True      	True
 625	spk_a        	spk_a                   	True      	True
 626	spk_a        	spk_a                   	True      	True
 627	spk_a        	spk_a                   	True      	True
 628	spk_a        	spk_a                   	True      	True
 629	spk_a        	spk_a                   	True      	True
 630	spk_a        	spk_a                   	True      	True
 631	spk_a        	spk_a                   	True      	True
 632	spk_a        	spk_a                   	True      	True
 633	silence      	spk_a                   	False     	False
 634	silence      	spk_a                   	False     	False
 635	silence      	spk_a                   	False     	False
 636	silence      	spk_a                   	False     	False
 637	silence      	spk_a                   	False     	False
 638	silence      	spk_a                   	False     	False
 639	silence      	spk_a                   	False     	False
 640	silence      	spk_a                   	False     	False
 641	silence      	spk_a                   	False     	False
 642	silence      	spk_a                   	False     	False
 643	silence      	spk_a                   	False     	False
 644	silence      	spk_a                   	False     	False
 645	silence      	spk_a                   	False     	False
 646	silence      	spk_a                   	False     	False
 647	silence      	spk_a                   	False     	False
 648	silence      	spk_a                   	False     	False
 649	silence      	spk_a                   	False     	False
 650	silence      	spk_a                   	False     	False
 651	silence      	spk_a                   	True      	False
 652	spk_a        	spk_a                   	True      	True
 653	spk_a        	spk_a                   	True      	True
 654	spk_a        	spk_a                   	True      	True
 655	spk_a        	none                    	True      	False
 656	spk_a        	none                    	True      	False
 657	spk_a        	none                    	True      	False
 658	spk_a        	none                    	True      	False
 659	spk_b        	none                    	True      	False
 660	spk_b        	none                    	True      	False
 661	spk_b        	none                    	True      	False
 662	spk_b        	spk_b                   	True      	True
 663	spk_b        	spk_b                   	True      	True
 664	spk_b        	spk_b                   	True      	True
 665	spk_b        	spk_b                   	True      	True
 666	spk_b        	spk_b                   	True      	True
