# Per-frame agreement breakdown for reel_c1: fused active speaker timeline vs diarization label
# Note: diar_label shows raw transcript segment speaker; vad_speech gates active speech evaluation.
# frame	vad_speech	fused_label	diar_label	mouth_raw	agree
 333	True 	spk_a      	spk_a  	spk_b  	True 
 334	True 	spk_a      	spk_a  	spk_b  	True 
 335	True 	spk_a      	spk_a  	spk_b  	True 
 336	True 	spk_a      	spk_a  	spk_b  	True 
 337	True 	spk_a      	spk_a  	spk_b  	True 
 338	True 	spk_a      	spk_a  	spk_b  	True 
 339	True 	spk_a      	spk_a  	spk_b  	True 
 340	True 	spk_a      	spk_a  	spk_b  	True 
 341	True 	spk_a      	spk_a  	spk_b  	True 
 342	True 	spk_a      	spk_a  	spk_b  	True 
 343	True 	spk_a      	spk_a  	spk_b  	True 
 344	True 	spk_a      	spk_a  	spk_a  	True 
 345	True 	spk_a      	spk_a  	spk_a  	True 
 346	True 	spk_a      	spk_a  	spk_a  	True 
 347	True 	spk_a      	spk_a  	spk_a  	True 
 348	True 	spk_a      	spk_a  	spk_b  	True 
 349	True 	spk_a      	spk_a  	spk_b  	True 
 350	True 	spk_a      	spk_a  	spk_b  	True 
 351	True 	spk_a      	spk_a  	spk_b  	True 
 352	True 	spk_a      	spk_a  	spk_b  	True 
 353	True 	spk_a      	spk_a  	spk_b  	True 
 354	True 	spk_a      	spk_a  	spk_b  	True 
 355	True 	spk_a      	spk_a  	spk_b  	True 
 356	True 	spk_a      	spk_a  	spk_b  	True 
 357	True 	spk_a      	spk_a  	spk_b  	True 
 358	True 	spk_a      	spk_a  	spk_b  	True 
 359	True 	spk_a      	spk_a  	spk_b  	True 
 360	False	silence    	spk_a  	spk_b  	False
 361	False	silence    	spk_a  	spk_b  	False
 362	False	silence    	spk_a  	spk_b  	False
 363	False	silence    	spk_a  	spk_b  	False
 364	False	silence    	spk_a  	spk_b  	False
 365	False	silence    	spk_a  	spk_b  	False
 366	False	silence    	spk_a  	spk_b  	False
 367	False	silence    	spk_a  	spk_b  	False
 368	False	silence    	spk_a  	spk_b  	False
 369	False	silence    	spk_a  	spk_b  	False
 370	False	silence    	spk_a  	spk_b  	False
 371	False	silence    	spk_a  	spk_b  	False
 372	False	silence    	spk_a  	spk_b  	False
 373	False	silence    	spk_a  	spk_b  	False
 374	False	silence    	spk_a  	spk_b  	False
 375	True 	spk_a      	spk_a  	spk_b  	True 
 376	True 	spk_a      	spk_a  	spk_b  	True 
 377	True 	spk_a      	spk_a  	spk_b  	True 
 378	True 	spk_a      	spk_a  	spk_b  	True 
 379	True 	spk_a      	spk_a  	spk_b  	True 
 380	True 	spk_a      	spk_a  	spk_b  	True 
 381	True 	spk_a      	spk_a  	spk_b  	True 
 382	True 	spk_a      	spk_a  	spk_b  	True 
 383	True 	spk_a      	spk_a  	spk_b  	True 
 384	True 	spk_a      	spk_a  	spk_b  	True 
 385	True 	spk_a      	spk_a  	spk_b  	True 
 386	True 	spk_a      	spk_a  	spk_b  	True 
 387	True 	spk_a      	spk_a  	spk_b  	True 
 388	True 	spk_a      	spk_a  	spk_b  	True 
